timeindex;input;cmp_Q;output;exp_Q;cas_Pi_o;cmp_m;exp_m
2030-01-01 00:00:00;0.0;;50.0;58.73267764218345;32.0;0.0;51.28410210733332
2030-01-01 01:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 02:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 03:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 04:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 05:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 06:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 07:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 08:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 09:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 10:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 11:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 12:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 13:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 14:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 15:00:00;0.0;;0.0;0.0;32.0;0.0;0.0
2030-01-01 16:00:00;0.0;;25.0;30.277959168812256;31.998513390162728;0.0;29.33489293298758
2030-01-01 17:00:00;0.0;;24.999999996444423;30.27796690038522;31.997026774332856;0.0;29.335011183471746
2030-01-01 18:00:00;0.0;;25.0;30.27797463967481;31.995540152510355;0.0;29.335129434433007
2030-01-01 19:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-01 20:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-01 21:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-01 22:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-01 23:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 00:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 01:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 02:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 03:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 04:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 05:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 06:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 07:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 08:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 09:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 10:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 11:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 12:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 13:00:00;0.0;;0.0;0.0;31.995540152510355;0.0;0.0
2030-01-02 14:00:00;0.0;;50.0;58.732714372284626;31.992941190053667;0.0;51.28466359651917
2030-01-02 15:00:00;0.0;;50.0;58.732727895886974;31.99034221712029;0.0;51.28487033040314
2030-01-02 16:00:00;0.0;;49.99999999999999;58.732741419543835;31.987743233710177;0.0;51.28507706512047
2030-01-02 17:00:00;0.0;;50.0;58.73275494325523;31.98514423982329;0.0;51.28528380067118
2030-01-02 18:00:00;0.0;;49.99999999999999;58.732768467021124;31.982545235459582;0.0;51.28549053705525
2030-01-02 19:00:00;0.0;;50.0;58.732781990841545;31.979946220619016;0.0;51.285697274272714
2030-01-02 20:00:00;0.0;;50.0;58.73279551471647;31.977347195301547;0.0;51.28590401232355
2030-01-02 21:00:00;0.0;;50.0;58.73280903864592;31.974748159507133;0.0;51.28611075120776
2030-01-02 22:00:00;0.0;;50.0;58.732822562629885;31.97214911323573;0.0;51.28631749092536
2030-01-02 23:00:00;0.0;;50.0;58.732836086668364;31.9695500564873;0.0;51.286524231476356
2030-01-03 00:00:00;0.0;;49.99999999999999;58.732849610761356;31.966950989261797;0.0;51.28673097286074
2030-01-03 01:00:00;0.0;;50.0;58.732863134908875;31.96435191155918;0.0;51.28693771507852
2030-01-03 02:00:00;0.0;;50.0;58.73287665911091;31.961752823379406;0.0;51.28714445812971
2030-01-03 03:00:00;0.0;;50.0;58.73289018336745;31.959153724722434;0.0;51.28735120201429
2030-01-03 04:00:00;0.0;;50.0;58.73290370767852;31.95655461558822;0.0;51.28755794673228
