,efficiency pauschal,power_in,power_out,thermal_input,cycle_start,cycle_end,power_fraction_start,power_fraction_end,reference_carnot_efficiency
0,0.7930319175068644,28859715448.257088,53105793575.23312,62460202081.81004,53.0,8519.0,1.0,0.5096557551754167,0.6100813289494036
625,0.7897934962979843,10766292848.027157,20030310787.424545,23616275289.773647,626.0,4044.0,1.0,0.6767970961081597,0.6180127968754996
1251,0.7881485739867692,4754688221.464343,8880310787.424547,10484008860.425016,1252.0,3041.0,1.0,0.6747860662769086,0.6211953267939143
1877,0.7868485491805793,900745154.4376515,1686292487.6465116,1992750571.2365777,1980.0,2328.0,1.0,0.6645184292716212,0.6234355221118386
2502,,0.0,0.0,0.0,2441.0,2699.0,0.0,0.0,0.0
3128,,0.0,0.0,0.0,3064.0,3179.0,0.0,0.0,0.0
3754,,0.0,0.0,0.0,3686.0,4039.0,0.0,0.0,0.0
4380,,0.0,0.0,0.0,4380.0,4381.0,0.0,0.0,0.0
5005,0.7953153477617783,8650000000.0,15685585294.832018,18409375497.02517,5240.0,7808.0,1.0,0.7117058966403537,0.6014583589825144
5631,0.7947933881066185,5650000000.0,10195864504.156473,11964079962.29845,5723.0,7696.0,1.0,0.9172900831294556,0.5999893649978284
6257,0.7944840057618703,650000000.0,1165850630.5812998,1367650579.5717897,6681.0,7265.0,1.0,0.3170126116259933,0.597690103087001
6882,0.7950367885778359,250000000.0,448939687.1593592,526634526.1554497,6972.0,7218.0,1.0,0.9787937431871837,0.597526107654528
7508,,0.0,0.0,0.0,7508.0,7509.0,0.0,-0.0,0.5923404162658996
8134,0.7965039616079598,1550000000.0,2854124767.4726954,3352117920.9841266,7813.0,8455.0,0.08249534945391068,-0.0,0.6065762800532987
8760,0.793030751229495,28859715448.257088,53105698101.99929,62460096350.390335,72.0,8542.0,0.507746291494829,1.0,0.6100820109502769
