,efficiency pauschal,power_in,power_out,thermal_input,cycle_start,cycle_end,power_fraction_start,power_fraction_end,reference_carnot_efficiency
0,0.7975446200504456,31519752785.37114,58808593252.091995,69160339283.64899,1.0,8479.0,1.0,0.7400122459721921,0.6104265079046243
625,0.794763673630765,12557335653.342613,23671592639.79338,27901752734.6195,629.0,4391.0,1.0,0.7516573594294155,0.6174202257062943
1251,0.7939635379199333,5539952908.638997,10521592639.793383,12421046285.958601,1253.0,3055.0,1.0,0.36592552881296814,0.6208842308692999
1877,0.793481896889404,906144550.5341091,1731420490.6132882,2046540415.2202032,1914.0,2350.0,1.0,0.26819447864473805,0.6234470723978427
2502,,0.0,0.0,0.0,2441.0,2676.0,0.0,0.0,0.0
3128,,0.0,0.0,0.0,3064.0,3224.0,0.0,0.0,0.0
3754,0.795051279612606,8978925777.649408,17021592639.793383,20076937172.65497,840.0,4035.0,0.37261672462914996,0.0,0.6191433236272365
4380,,0.0,0.0,0.0,4380.0,4381.0,0.0,0.0,0.0
5005,0.7987927598217247,11700000000.0,21524481083.399113,25265658535.23821,5000.0,8479.0,0.0,0.4896216679822385,0.6034382440345166
5631,0.7973217577625705,4575000000.0,8320594710.313574,9762783018.224802,5611.0,7483.0,0.0,0.41189420627147516,0.6003083317120508
6257,1.4424031571326141,0.0,50000000.0,58653507.280030094,6378.0,6378.0,1.0,-0.0,0.5910025482863106
6882,,0.0,0.0,0.0,6872.0,7014.0,0.0,-0.0,0.592089569085517
7508,,0.0,0.0,0.0,7508.0,7509.0,0.0,-0.0,0.5937982502636334
8134,0.7987913787902858,11700000000.0,21524411815.403397,25265581898.278435,4975.0,8454.0,0.4882363080679132,-0.0,0.6034384861465236
8760,0.7970452032907194,32512238233.695435,60536786390.73481,71189988169.90279,61.0,8718.0,0.3038750188286522,1.0,0.6101879275390917
