,efficiency pauschal,power_in,power_out,thermal_input,cycle_start,cycle_end,power_fraction_start,power_fraction_end,reference_carnot_efficiency
0,0.7971659599847901,79503503322.69542,147713511363.8037,173722482011.67056,3.0,8684.0,1.0,0.9296332962758947,0.6089874679206423
625,0.799110146864507,26973717520.944225,51275000000.0,60373701009.44234,626.0,3487.0,1.0,0.33391726125192145,0.6160199519969776
1251,0.7991107016695306,23265207431.425007,44250000000.0,52105955973.33348,862.0,3443.0,0.15374413509755025,0.5843821782855165,0.6162222156218007
1877,0.7987100883168354,11032851632.501442,21050000000.0,24802460307.177643,1624.0,2877.0,0.7034684720389217,0.37678677137726446,0.6177670560464308
2502,0.7986963095081338,11032850081.073284,21050000000.0,24802460307.177647,1642.0,2878.0,0.31025017118239606,0.7700050722337869,0.6177854501044276
3128,0.7991129154125572,23265012999.256905,44250000000.0,52105955973.33349,849.0,3419.0,0.39683516630756943,0.34129114707549735,0.6162230030972153
3754,0.7970672483985861,77224400307.50087,143463511363.8037,168731378589.03757,190.0,8628.0,0.7320991663950427,0.6154738259899025,0.6090439095777738
4380,0.792825335462597,27050000000.0,48871011828.71271,57452153475.9636,4381.0,7524.0,1.0,0.6500092981800104,0.6020938263871689
5005,0.7909318510457378,20050000000.0,36040700546.332535,42389806844.27809,5000.0,7390.0,0.0,0.3140109266507595,0.6019699649195478
5631,0.7910363153822396,20050000000.0,36047515571.97462,42396239015.01301,5112.0,7440.0,0.731986609021988,0.9480975543961396,0.6019399081356671
6257,0.7960010085719169,5350000000.0,9677372629.156809,11358445882.74851,6210.0,6863.0,0.0,0.5474525831361629,0.5993326876833889
6882,0.7951301194187839,7100000000.0,12814706472.068304,15044322636.408878,6385.0,7172.0,0.11722018293499814,0.1769092584310757,0.5993284000873095
7508,0.7924867777299007,25600000000.0,46205080000.14672,54322261672.08901,4491.0,7509.0,0.8313727268603943,-0.0,0.6020351843576266
8134,0.795204102816512,43480612110.584404,79488511363.80371,93435503439.20135,3686.0,8605.0,0.7003318176688773,0.9119103940192412,0.6044733713007227
8760,0.795359772383224,40457189703.82261,73913511363.80371,86869330921.27869,4143.0,8717.0,0.14379407645221487,1.0,0.6040535214436169
