,efficiency pauschal,power_in,power_out,thermal_input,cycle_start,cycle_end,power_fraction_start,power_fraction_end,reference_carnot_efficiency
0,0.798403677887716,28718495029.04848,53625720970.24148,63050053072.895065,53.0,8533.0,1.0,0.5578722907869567,0.6097961519840656
625,0.797441637497019,10550756186.047638,20047827355.652332,23624066740.587,626.0,4043.0,1.0,0.190472240689977,0.6175662001897861
1251,0.7973527205538699,4643989417.551847,8897827355.652332,10498055455.863752,1252.0,3040.0,1.0,0.8999795930073198,0.6206122402608123
1877,0.7968275788037894,882253708.8972404,1697827355.652331,2005150019.6182926,1980.0,2328.0,1.0,0.6618428442292178,0.6226366876778751
2502,,0.0,0.0,0.0,2441.0,2699.0,0.0,0.0,0.0
3128,,0.0,0.0,0.0,3064.0,3179.0,0.0,0.0,0.0
3754,,0.0,0.0,0.0,3686.0,4039.0,0.0,0.0,0.0
4380,,0.0,0.0,0.0,4380.0,4381.0,0.0,0.0,0.0
5005,0.7987274674365273,8650000000.0,15834883436.613894,18581648273.183098,5240.0,7811.0,1.0,0.6976687322778575,0.6014073294739044
5631,0.7980061699620717,5650000000.0,10286602161.848194,12068749136.394472,5723.0,7698.0,1.0,0.7320432369638753,0.59992789245427
6257,0.7967789802452115,650000000.0,1172888422.78977,1375718861.7774594,6681.0,7265.0,1.0,0.4577684557953986,0.5975329539179131
6882,0.7966762282496784,250000000.0,450788425.18686736,528733771.804176,6972.0,7219.0,1.0,0.015768503737347384,0.597344896832542
7508,,0.0,0.0,0.0,7508.0,7509.0,0.0,-0.0,0.5914886373848229
8134,0.8005209298782647,1550000000.0,2885389095.274432,3388128989.790876,7813.0,8455.0,0.7077819054886424,-0.0,0.6063492070895202
8760,0.7984036147468357,28718495029.04848,53625767817.95438,63050104895.02902,62.0,8542.0,0.5588092460409717,1.0,0.6097966656637085
